,url,price,title,location,type,area,purpose,baths,beds,description,
0,https://www.zameen.com/Property/dha_defence_dha_phase_7_luxurious_1_kanal_house_for_sale_your_dream_home_awaits-52830435-1450-1.html,8.15 Crore,Luxurious 1 Kanal House For Sale Your Dream Home Awaits!,"DHA Defence, Lahore, Punjab",House,1 Kanal,For Sale,6,5,"1 - 5 Bed Rooms With Bath,beautiful Interior And Exterior Drawing Dining TV Powder Room Jacuzzi Tub Baths Shower Cabins And Vanities .2 - Imported Shingle And Vanities .3 - Imported Euro Main Kitchen And Sported Kitchen .4 - Imported Tiles For Flooring & Front Elevation.5 - Grohe Sanitary Fitting In All Bathroom .6 - New Age Electrical Wiring In Complete House .7 - All Electrical Switches From Schneider Electric Company Germany .9 - Imported Italian Locks In Complete House .10 - Air Condition Inverter Type From Gree.11 - Imported Wallpapers.12 - Solid Ash Wooden Doors 8 Feet Height .13 - Lobby Double Hight (sky Light )14 - A Grade Bricks Civil Work .15 - Chenab Sand Used.16 - Saria Modal Grade .17 - Maple Leaf Cemet Used .18 - Lush Green Lawn .19 - Spacious Car Parking .20 - Basement POOL .( House Is Equipped With All Necessary Facilitates And Is Ready For Possession All You Need Is To Move In )For More Detail Call Or Visit",
1,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_c_dha_phase_6_1_kanal_slightly_used_house_for_sale_modern_design-52994975-1612-1.html,8.6 Crore,DHA Phase 6 1 Kanal Slightly Used House For Sale Modern Design,"DHA Defence, Lahore, Punjab",House,1 Kanal,For Sale,6,5,5 Bed Rooms Designer House For Sale2 Servant Quarter4 Car ParkingOwner NeedyNear To DHA Office And Ring RoadCall For More Detail,
2,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_house_on_3_years_easy_instalment_plan_in_park_view_city_lahore-53042611-1466-1.html,1.75 Crore,5 Marla Brand New House On 3 Years Easy Instalment Plan In Park View City Lahore.,"Park View City, Lahore, Punjab",House,5 Marla,For Sale,4,4,"Signature Land Bringing You Houses with Convenient Installment Options- Get Your House on Installments- Customized Design, Prime Map Location, 46 Months Delivery | 3 Years Easy Payment Plan- Photos displayed in advertisements are of the Model House for reference.- 5 Marla Beautiful House Includes:4 Bedrooms4 Bathrooms2 Kitchen2 TV LoungeDrawing DiningA+ Grade Material UsedReady to MoveUltra Luxury HouseIdeal LocationDeveloped AreaPeaceful EnvironmentGood CommunityAll Modern Amenities- Key Features Of Area24 7 Security ServicesEasy Access Through Canal RoadBeautiful Mosques Inside The SocietyBlock Wise ParksNear Lahore Expo CenterNear To Emporium MallNear To Thokar Niaz Baig &Amp MotorwayOn Multan Road Easy To AccessRestaurant And Food Franchise (Available)Finance &Amp Trade CentreBanks Available In The SocietySchool And Play Ground (Available).",
3,https://www.zameen.com/Property/dha_defence_dha_phase_5_near_to_jalal_son_s_1_kanal_ultra_modern_luxury_house_for_sale_in_dha_phase_5_prime_location-53001484-1447-1.html,9.25 Crore,Near to Jalal Son's 1 Kanal Ultra Modern Luxury House for Sale in DHA Phase 5 Prime Location,"DHA Defence, Lahore, Punjab",House,1 Kanal,For Sale,6,5,"BELIEVERS REAL ESTATEBungalow Details- 5 Master Bedrooms Attach Bath- 2x Designers TV Lounge- 2 Gorenje Kitchen with full Accessories- Beautiful Designers terrace- 2 Servant Quarters- 6 Branded Bathrooms- 11- AC DV Inverter- 4 Huge Car parking- Powder Room- Swimming Pool- Home TheatreBungalow located Near Masjid Park Easily accessible from Ring Road.Electrical appliances installed and much more. . .Modern design house with excellent finishing and workmanship.Company-fitted doors, kitchen, and wardrobesThe Superb Elevation House Location Is Excellent.Imported Tiel FlooringNear Macdonald's Petrol Pump> Modern Designer Bungalow> Double Story Bungalow> Double Height Lobby> 4 Walls tiles > Solid ASH Wood doors 8ft Height> Spanish Bathroom Grohe fitting> Gorenje Branded Kitchen> imported jacuzzi install in Bath> finceria Light > Dc Investors Ac> Caben ShowerBar B. Q Area in BungalowAsh Wood Door AlmirahAmazing Wallpapers &Amp Entrance LobbyImported Marbles &Amp, Tiles Flooring2 Imported Jacuzzi's and 5 Cabin Showers in Baths.Very Reasonable Demand.Meeting Possible 24/7.",
4,https://www.zameen.com/Property/dha_defence_dha_phase_7_near_park_eyes_catching_10_marla_luxury_modern_design_house_for_sale_in_dha_phase_7_lahore-52993835-1450-1.html,4.85 Crore,Near Park Eyes Catching 10 Marla Luxury Modern Design House For Sale In DHA Phase 7 Lahore,"DHA Defence, Lahore, Punjab",House,10 Marla,For Sale,5,4,BELIEVERS REAL ESTATE10 Marla Marvellous Design Bungalow For SaleBasic Details:- 4 Luxurious Bedrooms with attached Bath- 1 Beautiful Designer TV lounge- 1 Luxury Drawing room- 1 Beautiful Dining Room- 1 Euro Company kitchens- 2 Beautiful hidden terrace- 1 Bar-B-Q terrace- 1 Stor room- 1 Servant quarter in basement- 2 Car parking loungeSome Futures- Beautiful Double Height Lobby- Fincera lights and chandeliers- Totally Branded Tiles used in the home- Solid Ash-wood Work- Branded Media Walls- Gorhe and Kale sanitary fittings- Euro Compny Kitchens- Heat-proofing and seepage protection in full house,
5,https://www.zameen.com/Property/johar_town_johar_town_phase_1_10_marla_brand_new_double-unit_house_for_sale_in_johar_town_phase_1_f2_block_lahore_pkr_5_crore_65_lakh-53076393-3937-1.html,5.65 Crore,"10 Marla Brand New Double-Unit House for Sale in Johar Town Phase 1 (F2 Block), Lahore PKR 5 Crore 65 Lakh","Johar Town, Lahore, Punjab",House,10 Marla,For Sale,6,6,"10 Marla Brand New Modern Double-Unit House for Sale Johar Town Phase 1 (F2 Block), LahoreA beautifully constructed, registry-verified 10 Marla house located in one of Lahores most demanded areas perfect for comfortable family living or a safe long-term investment.Property DetailsSize: 25 90 ft (2,250 sq. ft. ) Registry / Intkal Verified 10 MarlaBedrooms: 5 Spacious Bedrooms with Attached BathsBathrooms: 6Kitchens: 2 Modern KitchensTV Lounges: 2Drawing & Dining RoomStore + Powder RoomBig Car PorchDouble-Unit Design Ideal for Rental Income or Two-Family UseQuality & FinishingPremium Tiled FlooringSolid Yellow Pine DoorsPorta, Grohe & Faisal Sanitary FittingsBeautiful Spanish ElevationCurtains, Ceiling Fans & Chandeliers InstalledModern Ceiling Design with Excellent LightingAC Points AvailableTransferable with All Documents ClearDemandPKR 5 Crore 65 Lakh (Negotiable)Multiple Houses Available in the same prime location ideal for single, two, three, or four brothers to purchase together for a joint-family setup or investment plan.Visit Us:Office No. 25 (Back Front), Ground Floor, Zam Zam Tower, H3 Block, Commercial Zone, Johar Town, LahoreContact:Ali Hassan (CEO):View Contact Detail/View Contact DetailMuhammad Hamza (Managing Director):View Contact Detail/View Contact Detail",
6,https://www.zameen.com/Property/johar_town_johar_town_phase_2_546_sq_ft_luxury_apartment_high_rental_income_next_to_emporium_mall-53055809-3961-1.html,1.9 Crore,546 Sq. Ft. Luxury Apartment | High Rental Income | Next to Emporium Mall,"Johar Town, Lahore, Punjab",Flat,2.4 Marla,For Sale,1,1,"546 Sq. Ft. 2nd Floor Apartment | Cash Payment | Possession Dec 2025Skyscraper Residences Luxury Apartments & Shops in Johar TownLocation: Johar Town, Lahore | Next to Emporium Mall & Expo CentreAvailable UnitSize: 546 Sq. Ft.Floor: 2nd FloorType: 1 Master Bed with Attached Bath, TV Lounge & KitchenFlooring: Tile FlooringLifts AvailablePrice: 2 Crore PKR (Negotiable)Payment: Cash OnlyPossession: December 2025Project Highlights21 Floors with 3-Level Basement ParkingGround & 1st Floors: Premium Shopping MallHigh Rental & Capital Gain PotentialHighest Rental Income & Future-Secure InvestmentFinance & Trade Centre | Totally Gated CommunityDeveloped by United Lifestyle Trusted Real Estate DeveloperEarthquake-Resistant StructureWorld-Class Facilities (50+ Amenities)3 Temperature-Controlled Swimming Pools (9th & 15th Floors)Sky Gym & Spa (Sauna, Steam Room, Massage Area)Mini Cinema (Free for Residents)Rooftop Restaurant, Coffee Lounge & Sky TerracesChildrens Play Area & CourtyardsPower Backup & Smart Parking Management24/7 Security with Access Control & CCTVRO Plant for Clean Drinking WaterEV Charging StationsHi-Tech Anti-Theft Parking SystemProfessional Maintenance & Facility ManagementPrime Location Advantages1 Min Walk to Emporium Mall & Expo Center1 Min Walk to NADRA Head Office2 Min Drive to Doctors Hospital3 Min Drive to Canal Road8 Min Drive to Shaukat Khanum Hospital4 Min Drive to Motorway Access15 Min Drive to Ring Road & Lahore Secretariat25 Min Drive to Allama Iqbal International AirportContact for Booking & Site VisitAli Property ConsultantsOffice No. 25, Ground Floor, Zam Zam Tower, H3 Block, Commercial Zone, Johar Town, LahoreMuhammad Hamza:View Contact DetailMuhammad Ali Hassan:View Contact Detail",
7,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_fully_furnished_designer_house-53096676-1448-1.html,20.5 Crore,1 Kanal Fully Furnished Designer House,"DHA Defence, Lahore, Punjab",House,1 Kanal,For Sale,6,5,1 Kanal filly furnished designer house for sale in J Block of DHA Phase 6.SMC TilesSaveKey AutomationNova PaintWall Master Wall PapersVitra SanitaryHolzinn FurnitureFor more details please contact us.,
8,https://www.zameen.com/Property/dha_defence_dha_phase_6_2_kanal_modern_house_for_sale_full_basment-52941929-1448-1.html,40 Crore,2 KANAL MODERN HOUSE FOR SALE FULL BASMENT,"DHA Defence, Lahore, Punjab",House,2 Kanal,For Sale,7,6,NADEEM PROPERTIES OFFERS:100% Original Pictures Are AttachedAbout The Property:06 Master Size Bed Rooms With Attached BathAll Baths Are Equipped With Imported Fittings2 Kitchen Amazing Wood Work2 TV LoungeFully furnishedPool+gymStore RoomPrayer Room2 Servant Quarter In BasementDrawing Room And Dining RoomAmazing Wood Work In BungalowHouse Is Located Near Park/MosqueNear By Commercial AreaComplete Wiring Of UPS And Generator Done In The HouseSolid Steel Work Used For Outside Main GateComplete Marble/Tiled/Wooden FlooringAll The Construction Near And Adjacent To House Is NewWashing Area Is Elegantly Managed At The Back Side Of HouseGood Sizes Of Washrooms With Large Wardrobes In It.Superb ElevationHouse Location Is ExcellentMain Hospitals Are So Nearby That Hardly Just 5 Minutes AwayExclusive Views From The Terrace.Spacious Terrace Where One Can Easily Have Good Walk And Reasonable Sitting Area.All The Basic Necessities Of Life Are Available.All The Basic Utilities Are Available Including Connections Of Water/Sewage/Gas And Electricity.If You Cant Access Please Feel Free To Contact Us.,
9,https://www.zameen.com/Property/lake_city_meadows_phase_1_lake_city_meadows_phase_1_-_block_f_10_marla_brand_new_banglow_for_sale_on_society_s_top_location_-_block_f_lake_city_meadows_ex_state_life_housing_society-53096635-4196-1.html,5.35 Crore,10 Marla brand new Banglow for sale on society's top location - Block F Lake City Meadows (ex State Life Housing Society),"Lake City Meadows, Lahore, Punjab",House,10 Marla,For Sale,-,-,Lake City Meadows (ex State Life Housing Society)10 Marla brand new Banglow for sale on society's top location.- Stunning front elevation.- 4 beds with attached bath.- Drawing- 2 tv lounge- 2 kitchen- Servant quarter with bath- store- car porch- lush green lawn- open terrace- separate Powder RoomDemand 535 lakhs,
